"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"	"Value"
"CHEMBL125894"	""	"None"	"461.54"	"0"	"4.46"	"4n"	"C/C(=N\OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccc(-c2cccnc2)cc1"	"EC50"	"'='"	"800.0"	"nM"	"6.10"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL759446"	"Peroxisome proliferator activated receptor gamma agonistic activity in HepG2 cells."	"F"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"HepG2"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1133395"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2000"	"CHEMBL3307718"	""	""	""	"0.8"
"CHEMBL426592"	""	"None"	"432.94"	"1"	"5.65"	"48"	"CC(C)(C)c1ccc(OCCCOc2ccc3c(c2)O[C@@](C)(C(=O)O)CC3)c(Cl)c1"	"IC50"	"'>'"	"15000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL828475"	"In vitro binding affinity against human PPARgamma"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1140266"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2005"	"None"	""	""	""	"15.0"
"CHEMBL2204693"	""	"None"	"402.49"	"1"	"5.72"	"45"	"CC(C)(Oc1ccc(CCOc2ccc(/C=C/c3ccccc3)cc2)cc1)C(=O)O"	"EC50"	"'='"	"12600.0"	"nM"	"4.90"	""	""	"UO_0000065"	"12.17"	"0.22"	"-0.82"	"8.79"	"0"	"CHEMBL2215753"	"Transactivation of human GAL4-fused PPARgamma ligand binding domain transfected in HEK293 cells after 18 hrs by dual luciferase reporter gene assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HEK293"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2203159"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2012"	"CHEMBL3307715"	""	""	""	"12.6"
"CHEMBL148639"	""	"None"	"465.59"	"0"	"4.34"	"18"	"Cn1c(CCCc2ccc(OC(C)(C)C(=O)O)cc2)nn(Cc2ccc(C(C)(C)C)cc2)c1=O"	"EC50"	"'='"	"1500.0"	"nM"	"5.82"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL762735"	"Cotransfection activity of compound against human Peroxisome proliferator activated receptor gamma was determined"	"F"	"BAO_0000019"	"assay format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1145902"	"1"	"Scientific Literature"	"J Med Chem"	"2003"	"None"	""	""	""	"1500.0"
"CHEMBL147599"	""	"None"	"485.97"	"1"	"6.26"	"29"	"O=C(c1ccccc1)c1ccccc1N[C@@H](Cc1ccc(OCc2ccc(Cl)cc2)cc1)C(=O)O"	"EC50"	"'='"	"851.14"	"nM"	"6.07"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL758984"	"Ability to promote differentiation of C3H10T1/2 stem cells to adipocytes using lipogenesis assay mediated through activation of Peroxisome proliferator activated receptor gamma"	"F"	"BAO_0000019"	"assay format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1131423"	"1"	"Scientific Literature"	"J Med Chem"	"1998"	"None"	""	""	""	"-6.07"
"CHEMBL166572"	""	"None"	"463.53"	"1"	"5.05"	"3k"	"CCOC(Cc1ccc(OCCCN2c3ccccc3OCOc3ccccc32)cc1)C(=O)O"	"EC50"	"'='"	"1200.0"	"nM"	"5.92"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL824648"	"In vitro transactivation using receptor transactivation assay against hPPAR gamma"	"F"	"BAO_0000019"	"assay format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1135600"	"1"	"Scientific Literature"	"J Med Chem"	"2002"	"None"	""	""	""	"1.2"
"CHEMBL223349"	""	"None"	"512.61"	"2"	"5.54"	"17"	"Cc1oc(-c2ccccc2)nc1CCOc1ccc(CCC(=O)O)c(CNC(=O)CCc2ccccc2)c1"	"IC50"	"'='"	"161.0"	"nM"	"6.79"	""	""	"UO_0000065"	"13.25"	"0.24"	"1.25"	"6.68"	"0"	"CHEMBL912551"	"Displacement of [3H]2-methyl-2-(4-{3-propyl-(5-pyridin-2yl-thiophene-2-sulfonyl)-amino]-pro-pyl}-phenoxy)-propionic acid from human PPARgamma"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1146164"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""	""	""	"161.0"
"CHEMBL4564535"	""	"None"	"569.55"	"2"	"7.83"	"68"	"CCC/C(=C\c1cc(OCc2ccc3nc(C(F)(F)F)cc(OC)c3c2)ccc1OCc1ccc(F)cc1)C(=O)O"	"IC50"	"'='"	"3200.0"	"nM"	"5.50"	""	""	"UO_0000065"	"9.65"	"0.18"	"-2.34"	"7.06"	"0"	"CHEMBL4368706"	"Antagonist actvity in pFA-GAL4-DBD fused PPARgamma LBD (unknown origin) transfected in HEK293T cells assessed as inhibition of rosiglitazone-induced PPARgamma transactivation incubated for 24 hrs by luciferase reporter gene assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4364346"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2019"	"None"	""	""	""	"3.2"
"CHEMBL392058"	""	"None"	"487.47"	"1"	"5.98"	"26"	"Cc1cc(Oc2cccc(CNC(=O)c3ccc(C(F)(F)F)cc3)c2)ccc1OC(C)(C)C(=O)O"	"IC50"	"'='"	"17.99"	"nM"	"7.75"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL2038597"	"Agonist activity at PPARgamma"	"F"	"BAO_0000019"	"assay format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2034870"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2012"	"None"	""	""	""	"7.745"
"CHEMBL5197924"	""	"None"	"475.85"	"1"	"6.34"	"5"	"CN(Cc1c(-c2c(Cl)cccc2C(F)(F)F)noc1-c1cc[nH]c1)c1ccc(C(=O)O)cc1"	"EC50"	"'>'"	"100000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL5131996"	"Inverse agonist activity at His6-tagged PPARgamma LBD (unknown origin) assessed as N-terminal biotinylated PGC1a coactivator peptide recruitment by TR-FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL5131377"	"1"	"Scientific Literature"	"J Med Chem"	"2021"	"None"	""	""	""	"100.0"
"CHEMBL5182239"	""	"None"	"476.84"	"1"	"6.30"	"12"	"Cn1ccc(-c2onc(-c3c(Cl)cccc3C(F)(F)F)c2COc2ccc(C(=O)O)cc2)c1"	"EC50"	"'='"	"1200.0"	"nM"	"5.92"	""	""	"UO_0000065"	"12.42"	"0.25"	"-0.38"	"7.64"	"0"	"CHEMBL5131996"	"Inverse agonist activity at His6-tagged PPARgamma LBD (unknown origin) assessed as N-terminal biotinylated PGC1a coactivator peptide recruitment by TR-FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL5131377"	"1"	"Scientific Literature"	"J Med Chem"	"2021"	"None"	""	"INVERSE AGONIST"	""	"1.2"
"CHEMBL2042804"	""	"None"	"527.57"	"1"	"4.95"	"5"	"CCCc1ccc2ccccc2c1CNC(=O)c1c(OC)cc(O)c2c1OC1=CC(O)=C(C(C)=O)C(=O)[C@]12C"	"EC50"	"'='"	"43.0"	"nM"	"7.37"	""	""	"UO_0000065"	"13.96"	"0.26"	"2.42"	"6.03"	"0"	"CHEMBL2045529"	"Modulation of full-length human pSG5-fused PPARgamma expressed in MG-63 cells co-expressing pGV-P2-PPRE after 24 hrs by luciferase reporter gene based transactivation assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"MG-63"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2040760"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2012"	"CHEMBL3308498"	""	""	""	"43.0"
"CHEMBL2042809"	""	"None"	"533.96"	"1"	"4.96"	"10"	"COc1cc(O)c2c(c1C(=O)NCc1c(C)ccc3ccc(Cl)cc13)OC1=CC(O)=C(C(C)=O)C(=O)[C@]12C"	"EC50"	"'='"	"4.9"	"nM"	"8.31"	""	""	"UO_0000065"	"15.56"	"0.30"	"3.35"	"6.80"	"0"	"CHEMBL2045529"	"Modulation of full-length human pSG5-fused PPARgamma expressed in MG-63 cells co-expressing pGV-P2-PPRE after 24 hrs by luciferase reporter gene based transactivation assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"MG-63"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2040760"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2012"	"CHEMBL3308498"	""	""	""	"4.9"
"CHEMBL2042813"	""	"None"	"517.51"	"1"	"4.45"	"14"	"COc1cc(O)c2c(c1C(=O)NCc1c(C)ccc3ccc(F)cc13)OC1=CC(O)=C(C(C)=O)C(=O)[C@]12C"	"EC50"	"'='"	"65.0"	"nM"	"7.19"	""	""	"UO_0000065"	"13.89"	"0.26"	"2.74"	"5.88"	"0"	"CHEMBL2045529"	"Modulation of full-length human pSG5-fused PPARgamma expressed in MG-63 cells co-expressing pGV-P2-PPRE after 24 hrs by luciferase reporter gene based transactivation assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"MG-63"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2040760"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2012"	"CHEMBL3308498"	""	""	""	"65.0"
"CHEMBL5268127"	""	"None"	"289.33"	"0"	"2.76"	"4"	"COc1c(CC=C(C)C)c(=O)[nH]c2c(OC)c(O)ccc12"	"EC50"	"'='"	"9800.0"	"nM"	"5.01"	""	""	"UO_0000065"	"17.31"	"0.33"	"2.25"	"7.00"	"0"	"CHEMBL5229438"	"Agonist activity at GST-tagged PPAR-gamma ligand binding domain (unknown origin) assessed as recruitment of fluorescein-labeled SRC1 coactivator peptide by LanthaScreen TR-FRET Coactivator assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL5226363"	"1"	"Scientific Literature"	"J Nat Prod"	"2023"	"None"	""	"AGONIST"	""	"9.8"
"CHEMBL2031856"	""	"None"	"378.51"	"1"	"6.51"	"APH 2"	"COc1ccc(/C=C/c2cc(O)c(C/C=C(\C)CCC=C(C)C)c(O)c2)cc1"	"EC50"	"'='"	"14000.0"	"nM"	"4.85"	""	""	"UO_0000065"	"12.82"	"0.24"	"-1.66"	"9.77"	"0"	"CHEMBL2033818"	"Transactivation of human PPARgamma expressed in african green monkey CV1 cells by luciferase reporter gene assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"CV-1"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2029250"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2012"	"CHEMBL3308033"	""	""	""	"14.0"
"CHEMBL4469751"	""	"None"	"528.61"	"1"	"4.45"	"22"	"CCCCc1nc(C)c(CC(=O)OCC2CC2)c(=O)n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1"	"EC50"	"'='"	"1810.0"	"nM"	"5.74"	""	""	"UO_0000065"	"10.86"	"0.20"	"1.29"	"4.78"	"0"	"CHEMBL4332102"	"Agonist activity at human PPARgamma"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4330101"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2019"	"None"	""	""	""	"1.81"
"CHEMBL3355865"	""	"None"	"629.68"	"2"	"8.10"	"1g"	"C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCCOc2ccc(/C=C/c3ccc(C(F)(F)F)cc3)cc2)cc1)C(=O)O"	"EC50"	"'='"	"32.0"	"nM"	"7.50"	""	""	"UO_0000065"	"11.90"	"0.22"	"-0.61"	"8.83"	"0"	"CHEMBL3372995"	"Agonist activity at human GAL4-PPARgamma ligand binding domain expressed in human HepG2 cells by luciferase reporter gene assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HepG2"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3352447"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2015"	"CHEMBL3307718"	""	""	""	"0.032"
"CHEMBL3355868"	""	"None"	"598.10"	"2"	"7.98"	"1k"	"C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCCOc2ccc(/N=N/c3ccc(Cl)cc3)cc2)cc1)C(=O)O"	"EC50"	"'='"	"47.0"	"nM"	"7.33"	""	""	"UO_0000065"	"12.25"	"0.23"	"-0.65"	"6.69"	"0"	"CHEMBL3372995"	"Agonist activity at human GAL4-PPARgamma ligand binding domain expressed in human HepG2 cells by luciferase reporter gene assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HepG2"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3352447"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2015"	"CHEMBL3307718"	""	""	""	"0.047"
"CHEMBL3335661"	""	"None"	"446.50"	"1"	"5.20"	"52"	"COc1ccc(NC(=O)c2ccccc2NC(=O)c2ccc(C(C)(C)C)cc2)cc1C(=O)O"	"EC50"	"'='"	"4400.0"	"nM"	"5.36"	""	""	"UO_0000065"	"12.00"	"0.22"	"0.16"	"5.11"	"0"	"CHEMBL3395994"	"Transactivation of Gal4-tagged PPARgamma ligand binding domain (unknown origin) expressed in COS7 cells measured after overnight incubation by luciferase reporter gene assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"COS-7"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3393039"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2015"	"CHEMBL3307648"	""	""	""	"4.4"
"CHEMBL3393182"	""	"None"	"420.49"	"0"	"4.54"	"64"	"CSc1ccc(C(=O)Nc2ccccc2C(=O)Nc2cccc(CC(=O)O)c2)cc1"	"EC50"	"'='"	"17400.0"	"nM"	"4.76"	""	""	"UO_0000065"	"11.32"	"0.22"	"0.22"	"4.98"	"0"	"CHEMBL3395994"	"Transactivation of Gal4-tagged PPARgamma ligand binding domain (unknown origin) expressed in COS7 cells measured after overnight incubation by luciferase reporter gene assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"COS-7"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3393039"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2015"	"CHEMBL3307648"	""	""	""	"17.4"
"CHEMBL81676"	""	"None"	"533.62"	"2"	"7.40"	"8e"	"Cc1oc(-c2cccc(-c3ccccc3)c2)nc1CCOc1ccc(CC(C)(Oc2ccccc2)C(=O)O)cc1"	"IC50"	"'='"	"71.0"	"nM"	"7.15"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL760384"	"Displacement of PPARgamma agonist from human PPAR gamma receptor"	"F"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1148303"	"1"	"Scientific Literature"	"J Med Chem"	"2004"	"None"	""	""	""	"71.0"
"CHEMBL213435"	""	"None"	"544.82"	"2"	"7.64"	"29b"	"O=C(O)Cc1ccc(-c2noc(C(=O)CCCOc3ccc(Cl)cc3Cl)c2-c2ccccc2)c(Cl)c1"	"EC50"	""	""	""	""	""	"Not Active"	""	""	""	""	""	"0"	"CHEMBL867360"	"Agonist activity at PPARgamma by transactivation assay"	"F"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1145320"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""	""	""	""
"CHEMBL372107"	""	"None"	"429.52"	"1"	"6.82"	"7"	"CCOc1cccc(Oc2c(C(=O)O)n(-c3ccc(C(C)(C)C)cc3)c3ccccc23)c1"	"EC50"	"'='"	"233.0"	"nM"	"6.63"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL882884"	"Effective agonist concentration for human PPAR gamma Gal4 construct in transactivation assay"	"F"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1143644"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2005"	"None"	""	""	""	"0.233"
"CHEMBL198605"	""	"None"	"427.38"	"1"	"6.15"	"9"	"COc1ccc(-n2c(C(=O)O)c(Oc3cccc(C(F)(F)F)c3)c3ccccc32)cc1"	"EC50"	"'='"	"334.0"	"nM"	"6.48"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL882884"	"Effective agonist concentration for human PPAR gamma Gal4 construct in transactivation assay"	"F"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1143644"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2005"	"None"	""	""	""	"0.334"
"CHEMBL197636"	""	"None"	"439.43"	"1"	"7.26"	"11"	"CC(C)c1cccc(-n2c(C(=O)O)c(Oc3cccc(C(F)(F)F)c3)c3ccccc32)c1"	"EC50"	""	""	"nM"	""	""	"Not Determined"	"UO_0000065"	""	""	""	""	"0"	"CHEMBL881286"	"Effective agonist concentration for human PPAR gamma Gal4 construct in transactivation assay; NT = not tested"	"F"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1143644"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2005"	"None"	""	""	""	""
"CHEMBL198269"	""	"None"	"534.53"	"2"	"8.56"	"27"	"CC(C)(C)c1ccc(-n2c(C(=O)O)c(Oc3cccc(C(F)(F)F)c3)c3cc(Oc4ccc[nH]4)ccc32)cc1"	"IC50"	"'='"	"11.0"	"nM"	"7.96"	""	""	"UO_0000065"	"14.89"	"0.28"	"-0.60"	"10.41"	"0"	"CHEMBL880426"	"Inhibitory concentration against human peroxisome proliferator activated receptor gamma in SPA assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1143644"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2005"	"None"	""	""	""	"0.011"
"CHEMBL173828"	""	"None"	"490.48"	"1"	"6.08"	"16"	"CCCc1c(OCCCCOc2cccc3c2ccn3CC(=O)O)ccc2c(C(F)(F)F)noc12"	"IC50"	"'='"	"774.0"	"nM"	"6.11"	""	""	"UO_0000065"	"12.46"	"0.24"	"0.03"	"7.05"	"0"	"CHEMBL861059"	"Displacement of [3H]rosiglitazone from human PPAR gamma by SPA assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1140430"	"1"	"Scientific Literature"	"J Med Chem"	"2005"	"None"	""	""	""	"0.774"
"CHEMBL472071"	""	"None"	"310.43"	"0"	"4.13"	"29"	"CCCCCCC[C@H]1C(=O)C=C[C@@H]1OCCCCCC(=O)O"	"EC50"	"'='"	"4000.0"	"nM"	"5.40"	""	""	"UO_0000065"	"17.39"	"0.34"	"1.27"	"8.49"	"0"	"CHEMBL959184"	"Agonist activity at PPARgamma ligand binding domain expressed in human HeLa cells co-transfected with Gal4-DBD assessed as transcriptional activation by Gal4 response element-driven luciferase reporter gene assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HeLa"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1153952"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2009"	"CHEMBL3308376"	""	""	""	"4000.0"
"CHEMBL459466"	""	"None"	"508.96"	"2"	"5.15"	"7j"	"COc1ccc(C(=O)c2c(C)n(Cc3ccc(Cl)c(O[C@@H](C)C(=O)O)c3)c3nc(OC)ccc23)cc1"	"IC50"	"'<'"	"1.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL980782"	"Displacement of [3H]2AD-5075 from GST-tagged human PPARgamma receptor expressed in Escherichia coli BL21"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1139415"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2008"	"None"	""	""	""	"1.0"
"CHEMBL360112"	""	"None"	"437.54"	"0"	"4.85"	"22"	"O=C(O)Cc1ccccc1OCCC1Oc2ccccc2N(CCCC2CCCC2)C1=O"	"EC50"	"'='"	"2700.0"	"nM"	"5.57"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL757757"	"Agonistic activity against PPAR (peroxisome proliferator activated receptor gamma) in Suarus chinesis"	"F"	"BAO_0000019"	"assay format"	"suarus chinesis"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1148467"	"1"	"Scientific Literature"	"J Med Chem"	"2004"	"None"	""	""	""	"2700.0"
"CHEMBL368099"	""	"None"	"468.55"	"0"	"3.57"	"33"	"CC(=O)NCCCCCCN1C(=O)C(CCOc2ccccc2CC(=O)O)Oc2ccccc21"	"EC50"	"'>'"	"5000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL757757"	"Agonistic activity against PPAR (peroxisome proliferator activated receptor gamma) in Suarus chinesis"	"F"	"BAO_0000019"	"assay format"	"suarus chinesis"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1148467"	"1"	"Scientific Literature"	"J Med Chem"	"2004"	"None"	""	""	""	"5000.0"
"CHEMBL145958"	""	"None"	"585.66"	"2"	"6.84"	"41"	"CN(CCOc1ccc(CC(Nc2ccccc2C(=O)c2cccc3ccccc23)C(=O)O)cc1)c1nc2ccccc2o1"	"EC50"	"'='"	"85.11"	"nM"	"7.07"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL762148"	"The compound was tested functionally in vitro for inducing 50% of the maximum alkaline phosphatase activity (Transactivation) against Peroxisome proliferator activated receptor gamma"	"F"	"BAO_0000019"	"assay format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1131297"	"1"	"Scientific Literature"	"J Med Chem"	"1998"	"None"	""	""	""	"-7.07"
"CHEMBL214295"	""	"None"	"527.84"	"1"	"4.67"	"21a"	"Cc1onc(-c2ccc(CC(=O)O)cc2Cl)c1C(=O)NCCOc1ccc(C(F)(F)F)cc1[N+](=O)[O-]"	"EC50"	"'='"	"1250.0"	"nM"	"5.90"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL867360"	"Agonist activity at PPARgamma by transactivation assay"	"F"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1145320"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""	""	""	"1.25"
